time DOAR  MEZC  IGUA 
156.2579771 4186.819 2815.701 1805.59
156.258977792 4186.86 2815.741 1805.628
156.259978483 4186.9 2815.781 1805.665
156.260979175 4186.941 2815.822 1805.702
156.261979866 4186.982 2815.862 1805.74
156.262980558 4187.023 2815.902 1805.777
156.263981249 4187.063 2815.942 1805.815
156.264981941 4187.104 2815.983 1805.852
156.265982632 4187.145 2816.023 1805.889
156.266983324 4187.186 2816.063 1805.927
156.267984015 4187.226 2816.103 1805.964
156.268984707 4187.267 2816.144 1806.001
156.269985398 4187.308 2816.184 1806.039
156.27098609 4187.349 2816.224 1806.076
156.271986781 4187.389 2816.264 1806.114
156.272987473 4187.43 2816.305 1806.151
156.273988164 4187.471 2816.345 1806.188
156.274988856 4187.512 2816.385 1806.226
156.275989547 4187.552 2816.425 1806.263
156.276990239 4187.593 2816.466 1806.301
156.27799093 4187.634 2816.506 1806.338
156.278991622 4187.674 2816.546 1806.375
156.279992313 4187.715 2816.586 1806.413
156.280993005 4187.756 2816.627 1806.45
156.281993696 4187.797 2816.667 1806.487
156.282994388 4187.837 2816.707 1806.525
156.283995079 4187.878 2816.747 1806.562
156.284995771 4187.919 2816.788 1806.6
156.285996462 4187.96 2816.828 1806.637
156.286997154 4188.0 2816.868 1806.674
156.287997845 4188.041 2816.908 1806.712
156.288998537 4188.082 2816.949 1806.749
156.289999228 4188.123 2816.989 1806.787
156.29099992 4188.163 2817.029 1806.824
156.292000611 4188.204 2817.069 1806.861
156.293001303 4188.245 2817.11 1806.899
156.294001994 4188.286 2817.15 1806.936
156.295002686 4188.326 2817.19 1806.974
156.296003377 4188.367 2817.23 1807.011
156.297004069 4188.408 2817.271 1807.048
156.29800476 4188.449 2817.311 1807.086
156.299005452 4188.489 2817.351 1807.123
156.300006143 4188.53 2817.391 1807.16
156.301006835 4188.571 2817.432 1807.198
156.302007526 4188.611 2817.472 1807.235
156.303008218 4188.652 2817.512 1807.273
156.304008909 4188.693 2817.552 1807.31
156.305009601 4188.734 2817.593 1807.347
156.306010292 4188.774 2817.633 1807.385
156.307010984 4188.815 2817.673 1807.422
156.308011675 4188.856 2817.713 1807.46
156.309012367 4188.897 2817.754 1807.497
156.310013058 4188.937 2817.794 1807.534
156.31101375 4188.978 2817.834 1807.572
156.312014441 4189.019 2817.874 1807.609
156.313015133 4189.06 2817.915 1807.646
156.314015824 4189.1 2817.955 1807.684
156.315016516 4189.141 2817.995 1807.721
156.316017207 4189.182 2818.035 1807.759
156.317017899 4189.223 2818.076 1807.796
156.31801859 4189.263 2818.116 1807.833
156.319019282 4189.304 2818.156 1807.871
156.320019973 4189.345 2818.196 1807.908
156.321020665 4189.386 2818.237 1807.946
156.322021356 4189.426 2818.277 1807.983
156.323022048 4189.467 2818.317 1808.02
156.324022739 4189.508 2818.357 1808.058
156.325023431 4189.549 2818.398 1808.095
156.326024122 4189.589 2818.438 1808.133
156.327024814 4189.63 2818.478 1808.17
156.328025505 4189.671 2818.518 1808.207
156.329026197 4189.712 2818.559 1808.245
156.330026888 4189.752 2818.599 1808.282
156.33102758 4189.793 2818.639 1808.32
156.332028271 4189.834 2818.679 1808.357
156.333028963 4189.874 2818.72 1808.394
156.334029654 4189.915 2818.76 1808.432
156.335030346 4189.956 2818.8 1808.469
156.336031037 4189.997 2818.84 1808.506
156.337031729 4190.037 2818.881 1808.544
156.33803242 4190.078 2818.921 1808.581
156.339033112 4190.119 2818.961 1808.619
156.340033803 4190.16 2819.001 1808.656
156.341034495 4190.2 2819.042 1808.693
156.342035186 4190.241 2819.082 1808.731
156.343035878 4190.282 2819.122 1808.768
156.344036569 4190.323 2819.162 1808.806
156.345037261 4190.363 2819.203 1808.843
156.346037952 4190.404 2819.243 1808.88
156.347038644 4190.445 2819.283 1808.918
156.348039335 4190.486 2819.323 1808.955
156.349040027 4190.526 2819.364 1808.993
156.350040718 4190.567 2819.404 1809.03
156.35104141 4190.608 2819.444 1809.067
156.352042101 4190.649 2819.484 1809.105
156.353042793 4190.689 2819.525 1809.142
156.354043484 4190.73 2819.565 1809.18
156.355044176 4190.771 2819.605 1809.217
156.356044867 4190.812 2819.645 1809.254
156.357045559 4190.852 2819.686 1809.292
156.35804625 4190.893 2819.726 1809.329
156.359046941 4190.934 2819.766 1809.366
156.360047633 4190.975 2819.807 1809.404
156.361048324 4191.015 2819.847 1809.441
156.362049016 4191.056 2819.887 1809.479
156.363049707 4191.097 2819.927 1809.516
156.364050399 4191.138 2819.968 1809.553
156.36505109 4191.178 2820.008 1809.591
156.366051782 4191.219 2820.048 1809.628
156.367052473 4191.26 2820.088 1809.666
156.368053165 4191.301 2820.129 1809.703
156.369053856 4191.341 2820.169 1809.74
156.370054548 4191.382 2820.209 1809.778
156.371055239 4191.423 2820.249 1809.815
156.372055931 4191.463 2820.29 1809.853
156.373056622 4191.504 2820.33 1809.89
156.374057314 4191.545 2820.37 1809.927
156.375058005 4191.586 2820.41 1809.965
156.376058697 4191.626 2820.451 1810.002
156.377059388 4191.667 2820.491 1810.04
156.37806008 4191.708 2820.531 1810.077
156.379060771 4191.749 2820.571 1810.114
156.380061463 4191.789 2820.612 1810.152
156.381062154 4191.83 2820.652 1810.189
156.382062846 4191.871 2820.692 1810.227
156.383063537 4191.912 2820.732 1810.264
156.384064229 4191.952 2820.773 1810.301
156.38506492 4191.993 2820.813 1810.339
156.386065612 4192.034 2820.853 1810.376
156.387066303 4192.075 2820.893 1810.413
156.388066995 4192.115 2820.934 1810.451
156.389067686 4192.156 2820.974 1810.488
156.390068378 4192.197 2821.014 1810.526
156.391069069 4192.238 2821.054 1810.563
156.392069761 4192.278 2821.095 1810.6
156.393070452 4192.319 2821.135 1810.638
156.394071144 4192.36 2821.175 1810.675
156.395071835 4192.401 2821.215 1810.713
156.396072527 4192.441 2821.256 1810.75
156.397073218 4192.482 2821.296 1810.787
156.39807391 4192.523 2821.336 1810.825
156.399074601 4192.564 2821.376 1810.862
156.400075293 4192.604 2821.417 1810.9
156.401075984 4192.645 2821.457 1810.937
156.402076676 4192.686 2821.497 1810.974
156.403077367 4192.727 2821.538 1811.012
156.404078059 4192.767 2821.578 1811.049
156.40507875 4192.808 2821.618 1811.087
156.406079442 4192.849 2821.658 1811.124
156.407080133 4192.89 2821.699 1811.161
156.408080825 4192.93 2821.739 1811.199
156.409081516 4192.971 2821.779 1811.236
156.410082208 4193.012 2821.819 1811.274
156.411082899 4193.053 2821.86 1811.311
156.412083591 4193.093 2821.9 1811.348
156.413084282 4193.134 2821.94 1811.386
156.414084974 4193.175 2821.98 1811.423
156.415085665 4193.216 2822.021 1811.461
156.416086357 4193.256 2822.061 1811.498
156.417087048 4193.297 2822.101 1811.535
156.41808774 4193.338 2822.141 1811.573
156.419088431 4193.379 2822.182 1811.61
156.420089123 4193.419 2822.222 1811.648
156.421089814 4193.46 2822.262 1811.685
156.422090506 4193.501 2822.302 1811.722
156.423091197 4193.542 2822.343 1811.76
156.424091889 4193.582 2822.383 1811.797
156.42509258 4193.623 2822.423 1811.835
156.426093272 4193.664 2822.463 1811.872
156.427093963 4193.705 2822.504 1811.909
156.428094655 4193.745 2822.544 1811.947
156.429095346 4193.786 2822.584 1811.984
156.430096038 4193.827 2822.625 1812.022
156.431096729 4193.868 2822.665 1812.059
156.432097421 4193.908 2822.705 1812.096
156.433098112 4193.949 2822.745 1812.134
156.434098804 4193.99 2822.786 1812.171
156.435099495 4194.031 2822.826 1812.209
156.436100187 4194.071 2822.866 1812.246
